,Brand,Manufacturer,Calories,Protein,Fat,Sodium,Fibre,Carbohydrates,Sugar,Potassium,Group
1,Apple_Cinnamon_Cheerios,G,110,2,2,179,1.5,10.5,10,70,1
2,Cheerios,G,110,6,2,275,2,17,1,105,1
3,Cocoa_Puffs,G,110,1,1,177,0,12,13,55,1
4,Count_Chocula,G,110,1,1,180,0,12,13,65,1
5,Golden_Grahams,G,110,1,1,275,0,15,9,45,1
6,Honey_Nut)Cheerios,G,110,3,1,276,1.5,11.5,10,90,1
7,Kix,G,110,2,1,274,0,21,3,40,1
8,Lucky_Charms,G,110,2,1,168,0,12,12,55,1
9,Multi_Grain_Cheerios,G,100,2,1,240,2,15,6,90,1
10,Oatmeal_Raison_Crisp,G,130,3,2,156,1.5,13.5,10,120,1
11,Raisin_Nut_Bran,G,100,3,2,132,2.5,10.5,8,140,1
12,Total_Corn_Flakes,G,110,2,1,200,0,21,3,35,1
13,Total_Raisin_Bran,G,140,3,1,205,4,15,14,230,1
14,Total_Whole_Grain,G,100,3,1,199,3,16,3,110,1
15,Trix,G,110,1,1,132,0,13,12,25,1
16,Wheaties,G,100,3,1,211,3,17,3,110,1
17,Wheaties_Honey_Gold,G,110,2,1,216,1,16,8,60,1
18,All_Bran,K,70,4,1,282,9,7,5,320,2
19,Apple_Jacks,K,110,2,0,122,1,11,14,30,2
20,Corn_Flakes,K,100,2,0,268,1,21,2,35,2
21,Corn_Pops,K,110,1,0,89,1,13,12,20,2
22,Cracklin'_Oat_Bran,K,110,3,3,148,4,10,7,160,2
23,Crispix,K,110,2,0,238,1,21,3,30,2
24,Froot_Loops,K,110,2,1,113,1,11,13,30,2
25,Frosted_Flakes,K,110,1,0,210,1,14,11,25,2
26,Frosted_Mini_Wheats,K,100,3,0,0,3,14,7,100,2
27,Fruitful_Bran,K,120,3,0,257,5,14,12,190,2
28,Just_Right_Crunchy_Nuggets,K,110,2,1,175,1,17,6,60,2
29,Mueslix_Crispy_Blend,K,160,3,2,145,3,17,13,160,2
30,Nut&Honey_Crunch,K,120,2,1,176,0,15,9,40,2
31,Nutri-Grain_Almond_Raisin,K,140,3,2,232,3,21,7,130,2
32,Nutri-Grain_Wheat,K,90,3,0,178,3,18,2,90,2
33,Product_19,K,100,3,0,298,1,20,3,45,2
34,Raisin_Bran,K,120,3,1,222,5,14,12,240,2
35,Rice_Krispies,K,110,2,0,316,0,22,3,35,2
36,Smacks,K,110,2,1,65,1,9,15,40,2
37,Special_K,K,110,6,0,231,1,16,3,55,2
38,Cap'n_Crunch,Q,120,1,2,209,0,12,12,35,3
39,Honey_Graham_Ohs,Q,120,1,2,222,1,12,11,45,3
40,Life,Q,100,4,2,148,2,12,6,95,3
41,Puffed_Rice,Q,50,1,0,0,0,13,0,15,3
42,Puffed_Wheat,Q,50,2,0,0,1,10,0,50,3
43,Quaker_Oatmeal,Q,100,5,2,0,2.7,1,1,110,3
